Group SMH GLOBAL OP SUMMARY,Group SMH_OP_ASC_OBS_LAB,Department Code & Name,CFY CASES,PFY CASES,CFY UNITS,PFY UNITS, CFY TOTAL CHARGES ,PFY TOTAL CHARGES, CFY NET REVENUE ,PFY NET REVENUE,CFY DIRECT COST,PFY DIRECT COST,CFY DIRECT MARGIN,PFY DIRECT MARGIN,CFY PROGRAM COST,PFY PROGRAM COST,CFY INDIRECT/ OH COST,PFY INDIRECT/ OH COST,CFY NET MARGIN,PFY NET MARGIN
026 Nursing Units,OBS,1830 SMH NS 8-1400 SWING UNIT,2,3,2,4,3090,2870,568,439,1064,941,-496,-502,108,78,395,380,-999,-960
026 Nursing Units,OBS,1840 SMH 3-2800 BURN TRAUMA STEPDOWN,2,7,16,11,2323,15680,687,6986,1006,6119,-319,867,123,712,418,2870,-860,-2715
026 Nursing Units,OBS,1850 SMH 3-1800 AICU (ADULT ICU),2,0,2,,0,,0,,0,,0,,0,,0,,0,
026 Nursing Units,OBS,1860 SMH 8-1600 MEDICAL ICU,2,0,84,,10734,,3176,,3895,,-719,,144,,1419,,-2282,
026 Nursing Units,OBS,1900 SMH CLINICAL RESEARCH,4,0,14,,9790,,660,,2640,,-1980,,724,,848,,-3552,
027 Primary Care,OUTPATIENT,2300 SMH PC CLINTON CROSSINGS 110,2106,2012,3382,3559,281331,290281,170236,159828,230042,223718,-59806,-63890,32586,32266,29796,31997,-122188,-128153
027 Primary Care,OUTPATIENT,2310 SMH PC CLINTON MED ASSOC,2489,2452,3462,3462,322662,327295,211366,179608,270824,284000,-59458,-104392,37192,36496,35322,40119,-131971,-181007
027 Primary Care,OUTPATIENT,2320 SMH PC EASTSIDE INT MED,2240,1889,3267,2973,304205,266457,108422,162630,236910,213209,-128487,-50579,36195,29041,32873,32081,-197556,-111701
027 Primary Care,OUTPATIENT,2330 SMH PC GATES,2000,2412,2852,3450,262206,319529,98496,192325,214759,230035,-116263,-37710,31292,35065,29901,35500,-177456,-108275
027 Primary Care,OUTPATIENT,2340 SMH PC OLSAN,3431,3372,5000,5032,455820,457664,294163,251943,359629,328394,-65466,-76450,53243,50375,46555,46144,-165264,-172969
027 Primary Care,OUTPATIENT,2350 SMH PC PANORAMA,2509,2421,3362,3383,313631,317526,120868,192595,257434,237482,-136566,-44887,36663,34423,34216,34225,-207444,-113535
027 Primary Care,OUTPATIENT,2360 SMH PC PULSIFER,1998,2067,2740,2974,261179,282086,168432,159105,220391,209459,-51959,-50354,31579,30299,28618,29690,-112156,-110343
027 Primary Care,OUTPATIENT,2370 SMH PC RIMA,1399,1393,1961,1905,183726,176699,66859,44968,159907,145298,-93048,-100330,21118,19409,20783,20407,-134950,-140146
027 Primary Care,OUTPATIENT,2380 SMH PC SOUTHVIEW,2191,2147,3266,2988,278094,284211,106254,170276,227802,213495,-121548,-43219,33203,30857,30680,31181,-185432,-105257
027 Primary Care,OUTPATIENT,2390 SMH PC TWELVE CORNERS,1062,716,1534,1195,142602,99093,54872,19760,126575,90498,-71703,-70738,17321,10599,16807,13315,-105831,-94652
027 Primary Care,OUTPATIENT,2400 SMH PC CANALSIDE,1052,1017,3591,2556,154444,142257,84213,68082,130236,121160,-46023,-53078,19273,15370,17803,17961,-83099,-86409
027 Primary Care,OUTPATIENT,2410 SMH PC MANHATTAN SQ FAM MED,1238,1005,3617,3185,189876,148784,75867,78305,135273,132417,-59406,-54112,24016,15389,20619,20538,-104041,-90040
027 Primary Care,OUTPATIENT,2420 SMH PC MEDICAL ASSOC OF HENRIETTA,1698,1281,2163,2100,219576,183394,134922,84632,194622,142550,-59700,-57919,27300,20249,27975,23421,-114975,-101588
027 Primary Care,OUTPATIENT,2430 SMH PC NORTH PONDS FAMILY MEDICINE,878,764,1588,1580,124767,117916,75404,51306,103337,99119,-27933,-47813,14099,12916,15195,16338,-57228,-77067
027 Primary Care,OUTPATIENT,2440 SMH PC BROCKPORT MED,1350,1310,1921,2076,204126,212136,109789,98237,137888,127285,-28099,-29047,46365,46973,29830,25181,-104294,-101201
027 Primary Care,OUTPATIENT,2450 SMH GENESEE FAMILY MEDICINE,1542,1430,2712,2087,218312,198714,79167,82832,180122,128612,-100955,-45780,24946,20870,26871,21576,-152772,-88226
027 Primary Care,OUTPATIENT,2460 SMH INTERNAL MEDICINE LAKESIDE,1031,1024,1491,1587,133981,145195,89894,79125,126939,132342,-37045,-53217,14893,16258,82610,39014,-134548,-108489
027 Primary Care,OUTPATIENT,2470 SMH MED ASSOC PENFIELD YMCA,720,483,1686,673,92180,68309,53163,39592,100460,75686,-47297,-36095,11871,7734,14550,12340,-73717,-56169
027 Primary Care,OUTPATIENT,2500 SMH PC BUSHNELL'S BASIN,877,108,1409,145,134691,14701,46734,8395,114778,4506,-68045,3890,14889,1018,15214,762,-98148,2109
027 Primary Care,ASC,2400 SMH PC CANALSIDE,1,0,1,,130,,25,,109,,-84,,16,,15,,-115,
027 Primary Care,ASC,2410 SMH PC MANHATTAN SQ FAM MED,1,0,1,,130,,22,,92,,-70,,16,,14,,-101,
027 Primary Care,OBS,2300 SMH PC CLINTON CROSSINGS 110,1,0,0,,0,,0,,0,,0,,0,,0,,0,
027 Primary Care,OBS,2340 SMH PC OLSAN,1,0,1,,130,,39,,104,,-65,,15,,13,,-93,
027 Primary Care,OBS,2360 SMH PC PULSIFER,2,0,2,,260,,80,,222,,-142,,32,,29,,-203,
027 Primary Care,OBS,2470 SMH MED ASSOC PENFIELD YMCA,1,0,1,,90,,10,,101,,-91,,12,,15,,-117,
No Summary Groups,OUTPATIENT,9960 PAO MISC.,1,54,1,74,149,1376,69,534,0,0,69,534,,,,,69,534
No Summary Groups,OUTPATIENT,9980 S.O.N. CLINIC,1277,5208,3120,38421,366093,1593934,165184,562793,0,0,165184,562793,,,,,165184,562793
No Summary Groups,ASC,9960 PAO MISC.,44,59,86,117,12814,17273,3669,5286,0,0,3669,5286,,,,,3669,5286
No Summary Groups,OBS,9960 PAO MISC.,1492,2430,2797,4428,416753,653104,155759,252742,0,0,155759,252742,,,,,155759,252742
